	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
ANKRD54_+_38240294.23-P1P2	3770	4574	3087	1500	1592	1641	2379	1258	577	323
ANKRD54_+_38240302.23-P1P2	4156	5747	2562	1398	1828	421	938	910	269	292
ANKRD54_+_38240313.23-P1P2	4253	6382	4051	2492	1433	15254	2372	1643	736	15348
ANKRD54_+_38240316.23-P1P2	8773	11014	9114	9743	11625	6335	6287	6611	7631	2077
ANKRD54_-_38240300.23-P1P2	4528	5758	3256	2862	2901	2473	2777	1120	1815	732
ANKRD6_+_90142905.23-P1P2	6486	6804	8650	4789	4208	12441	12609	2629	2748	19866
ANKRD6_-_90142922.23-P1P2	2955	3968	5883	1145	2883	1869	4177	356	2297	673
ANKRD6_-_90142941.23-P1P2	7690	10198	4438	5778	5540	7703	2799	2110	3774	2104
ANKRD6_-_90142964.23-P1P2	2567	4409	1634	6768	1583	2761	1374	4358	929	801
ANKRD6_-_90142974.23-P1P2	2814	3423	1729	531	545	485	439	206	130	99
ANKS3_+_4784180.23-P1P2	2394	2785	2320	859	1539	973	2610	563	1431	164
ANKS3_+_4784183.23-P1P2	3087	3982	2631	1771	1341	1201	1490	1954	484	530
ANKS3_+_4784194.23-P1P2	2566	3807	1676	3696	636	3873	927	2632	298	1587
ANKS3_+_4784206.23-P1P2	3548	4240	5814	3074	4628	5719	7185	1428	5817	1880
ANKS3_+_4784210.23-P1P2	4195	6533	9768	5420	5391	9048	8414	5478	5764	5422
ANKZF1_+_220094518.23-P1P2	4594	5985	14956	4322	5390	4074	7874	2930	4502	1585
ANKZF1_+_220094583.23-P1P2	5102	6577	6830	1749	5966	7452	2826	573	2394	2547
ANKZF1_+_220094599.23-P1P2	4838	6899	6509	4154	5248	6973	3183	1159	2978	2873
ANKZF1_+_220094610.23-P1P2	3161	3849	6171	3185	3123	3019	3919	2811	1234	1248
ANKZF1_-_220094589.23-P1P2	9958	12751	11375	15793	12031	10225	8660	12898	8955	7982
AP5Z1_+_4815302.23-P1P2	2534	2366	1471	2198	41918	7065	2438	2560	245014	10416
AP5Z1_+_4815312.23-P1P2	6648	8219	2984	7723	3116	7799	2786	8509	1001	5818
AP5Z1_-_4815293.23-P1P2	4411	6297	10971	2426	11882	4611	17739	2143	38750	10573
AP5Z1_-_4815338.23-P1P2	6049	8158	12162	5565	7596	4645	15537	4864	6343	1236
AP5Z1_-_4815447.23-P1P2	3516	3635	1379	1342	995	1988	380	1770	456	2267
APITD1_+_10491041.23-P1P2	6115	8129	11943	11711	13312	4307	17020	10366	18115	2199
APITD1_-_10490580.23-P1P2	2799	3798	2031	3372	465	19587	1552	2065	143	2516
APITD1_-_10490820.23-P1P2	2964	3804	958	1363	1503	678	271	622	2485	53
APITD1_-_10490853.23-P1P2	5045	5680	8051	2334	5194	900	7095	1337	2993	425
APITD1_-_10490864.23-P1P2	2342	2999	970	1309	2146	559	677	526	1069	547
APLP2_+_129939824.23-P1P2	3109	3338	5301	1428	3420	3449	2261	291	1385	1714
APLP2_+_129939845.23-P1P2	4606	5141	6920	1139	5291	4566	7621	834	2966	3235
APLP2_-_129939865.23-P1P2	5160	6459	12728	3239	4796	1942	13949	2312	1758	1093
APLP2_-_129939875.23-P1P2	5394	7184	10524	8594	4021	15023	15956	9933	3841	22330
APLP2_-_129939977.23-P1P2	4864	5012	5765	4741	7935	14893	4316	7893	7085	6945
APOBEC3F_+_39437128.23-P1P2	2986	3567	4316	3562	2096	2496	4288	4886	987	489
APOBEC3F_+_39437229.23-P1P2	6881	7939	12192	5392	18309	5743	11595	4141	17566	3078
APOBEC3F_+_39437279.23-P1P2	4288	4410	6462	4214	3058	2373	7448	2480	7238	1316
